index,game,speaker,referent,referent_id,min_cluster_size,cluster_label
56,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#ae6c00,6,2,3
105,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#0089a0,24,2,1
138,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#698518,13,2,2
194,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#6976be,30,2,-1
232,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#bd5697,36,2,0
271,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#a67100,7,2,3
349,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#9a760e,8,2,4
504,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#da4836,2,2,3
535,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#768201,12,2,2
581,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#337dce,29,2,0
612,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#0084bc,27,2,1
708,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#d4467b,38,2,2
795,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#009018,15,2,0
834,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#009069,18,2,-1
875,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#817f00,11,2,-1
957,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#da464a,1,2,3
960,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#ca5a00,4,2,3
1011,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#b45aa4,35,2,4
1018,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#c55286,37,2,2
1024,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#008c8e,22,2,-1
1096,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#0081cd,28,2,1
1115,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#008b98,23,2,1
1150,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#bb6400,5,2,2
1180,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#00907c,20,2,1
1201,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#927900,9,2,-1
1376,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#0087a8,25,2,0
1394,2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#008c86,21,2,2
