game,speaker,referent,referent_id,mds_1
nan,init,#d9445d,0,-1.9979390984264893
nan,init,#ae6c00,6,3.878164141761769
nan,init,#009069,18,-1.3945605190238202
nan,init,#008b98,23,-0.9767204894635336
nan,init,#8c6db5,32,2.633992071657668
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#a67100,7,-0.13024793597597858
8780-7feec203-9a90-4601-a603-2684f706dee4,615e32053d4f0c25ecbd9aaf,#da464a,1,4.533158511467862
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,61001a5d58777b6e99cc43a1,#008c8e,22,-0.729104090188262
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#008c86,21,-2.009197651550589
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,611072022d4ba516aab619ac,#009072,19,-1.58579332372468
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,6110c8fb129da6ea8847b9f9,#698518,13,-2.644584762657633
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#0089a0,24,-2.446469820577894
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,#337dce,29,0.28306156522924264
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#ca5a00,4,-3.278914020469917
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,#dc4800,3,0.25950560025962305
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,60f5eba9476ad9bc1d4252e9,#009072,19,-1.3862774873886607
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6058071bda217990b860e6ee,#ae6c00,6,0.3573833277049293
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,611c16a6c39439a1dd61c1f7,#a67100,7,2.371673466293448
2587-8384393b-1042-47e8-a917-5062e30b3483,5ea93131b2e5310009e185e6,#8c6db5,32,2.809764260180345
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#d9445d,0,-2.0416890511125003
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,60c9fcbb6090f57f63cdbebf,#698518,13,-5.810152653532205
2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1,60a2cbab9a74ddb09789cfa8,#7e71ba,31,4.035783427753912
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,#0089a0,24,-0.18847158451251783
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#0087a8,25,-1.6255667675877767
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,60a81df1832584842fb188f6,#a265a6,34,-5.916555335666577
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,#009018,15,-0.5959733295220475
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#698518,13,-1.3341601306193702
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,#6976be,30,-3.719068454920408
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,6151f0f200c152d71f393bb5,#d7456b,39,2.5356700614251415
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5e521a4b05acdb243aaee8de,#0081cd,28,0.2988644440923391
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,5f47b045144b1c1ab5bed08d,#d7456b,39,2.767541600566396
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,#008b98,23,-0.8003846459742305
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61001bf99a534440d8563358,#008b98,23,-0.49230670446740815
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,5c105e2757fd11000127e60f,#0081cd,28,-0.44500626330486465
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,5b8ad127ce33a00001e696cf,#ca5a00,4,0.331850141506003
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,610087304c584b2ba35b4034,#0084bc,27,-1.6405997475862215
3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009,6053ce04a276ce713b3e7c1a,#0089a0,24,-0.8557868847663824
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,#009069,18,-0.049595362969879056
2587-8384393b-1042-47e8-a917-5062e30b3483,5ea93131b2e5310009e185e6,#009072,19,-4.288383259863961
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#dc4800,3,2.035389870780962
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5aa26bda35237b000112e35d,#da4836,2,2.7597444051879165
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#009072,19,-1.406435871184158
4516-f0e189ae-c01a-4dd4-aa63-524371292e12,610068e5f60debf1dafc444d,#0081cd,28,-0.8598307474869228
