game,speaker,referent,referent_id,mds_1,mds_2,mds_3
nan,init,#d9445d,0,-1.4940726268796647,0.8434597039290851,0.8687553779792303
nan,init,#ae6c00,6,-3.594743671699119,0.13360403947535976,-0.829096538019686
nan,init,#009069,18,1.3982994487883613,-2.4061875787547082,0.45030477981216044
nan,init,#008b98,23,0.8358089710397546,-1.6525550365941624,2.2449982343430652
nan,init,#8c6db5,32,0.7453917643387636,2.129180933107586,-1.9697791027024751
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#a67100,7,1.280217036739125,-0.15793684116840775,1.440814941841321
8780-7feec203-9a90-4601-a603-2684f706dee4,615e32053d4f0c25ecbd9aaf,#da464a,1,0.9181649528747796,-2.4166184108680278,-3.428332079352816
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,61001a5d58777b6e99cc43a1,#008c8e,22,0.6903531566963178,-1.3974838013895508,1.4514301493131385
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#008c86,21,-0.11994906960010139,-2.2178328546948767,2.525622610726558
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,611072022d4ba516aab619ac,#009072,19,-0.22914914282704932,-2.271624898045434,1.2915019951699773
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,6110c8fb129da6ea8847b9f9,#698518,13,2.201390318301927,-2.963282035226381,-0.14507617750478227
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#0089a0,24,-1.7800883098280316,-1.1348689188514074,1.9250505364845694
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,#337dce,29,1.5619512464040555,0.2352131506722901,0.4568416340562291
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#ca5a00,4,-2.686025819277775,0.6116666280410289,-0.8360955562909514
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,#dc4800,3,-0.043845286298195306,0.44309977050279514,0.8483238806884535
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,60f5eba9476ad9bc1d4252e9,#009072,19,1.4482462472606472,-2.381119461564175,0.3452443200071254
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6058071bda217990b860e6ee,#ae6c00,6,1.7261404084956817,0.3007450622271452,0.28274067814312936
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,611c16a6c39439a1dd61c1f7,#a67100,7,1.9106225321439225,2.739564979941172,-0.1867294038855281
2587-8384393b-1042-47e8-a917-5062e30b3483,5ea93131b2e5310009e185e6,#8c6db5,32,-2.753257011448418,-0.8812666163639387,-0.1321689018428523
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#d9445d,0,-1.4926701159958864,0.9241840739447498,0.7858338510192503
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,60c9fcbb6090f57f63cdbebf,#698518,13,0.8342507026828195,-2.813131400947049,-4.485193661752516
2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1,60a2cbab9a74ddb09789cfa8,#7e71ba,31,-0.3909362337393493,1.9686145456314605,-3.321391365228112
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,#0089a0,24,0.5565324521343679,-1.4465702938194822,-1.2226137064416331
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#0087a8,25,0.4690081524964569,-2.3527177959770733,1.8140487269437855
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,60a81df1832584842fb188f6,#a265a6,34,-0.8830754979586568,3.989065633146855,-3.8386909316250155
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,#009018,15,-0.44795382021119645,-1.4702113174941887,-0.6893423478299618
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#698518,13,1.3612295759531021,-2.2625014102425376,0.1224268710071774
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,#6976be,30,-2.0569193975110345,2.5771823450800806,-0.15017720298942674
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,6151f0f200c152d71f393bb5,#d7456b,39,-2.262022266084792,0.7280794566043349,1.5544752362929255
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5e521a4b05acdb243aaee8de,#0081cd,28,1.0365904760614182,0.47883385483817065,0.4024635618674506
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,5f47b045144b1c1ab5bed08d,#d7456b,39,-1.8133898986747192,2.142562580844188,1.118280125658635
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,#008b98,23,0.8984872266067594,-1.3643083295867913,1.9010821481806104
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61001bf99a534440d8563358,#008b98,23,0.36984501249494983,-0.8580405113414663,1.8291418153153143
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,5c105e2757fd11000127e60f,#0081cd,28,-0.41141093790898553,-1.293020440793511,-0.029294404593353637
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,5b8ad127ce33a00001e696cf,#ca5a00,4,1.4705379724848526,0.25974989715667784,0.1695303275737481
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,610087304c584b2ba35b4034,#0084bc,27,0.19390339960249997,-1.728462030794396,2.3637986500283037
3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009,6053ce04a276ce713b3e7c1a,#0089a0,24,0.063458465031726,-1.7920661947915486,1.8941981636644625
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,#009069,18,0.3286068082692797,-1.3330107674310883,-1.4907729645265866
2587-8384393b-1042-47e8-a917-5062e30b3483,5ea93131b2e5310009e185e6,#009072,19,-0.5655178525574664,1.9661723882175342,-3.4519475986260724
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#dc4800,3,-1.9661736949313187,0.44619323416322093,1.0456730977161286
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5aa26bda35237b000112e35d,#da4836,2,-2.1904551106696384,-0.6950913132824085,-1.5887630049230124
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#009072,19,1.392841587982278,-2.446980416067927,0.6664984418678552
4516-f0e189ae-c01a-4dd4-aa63-524371292e12,610068e5f60debf1dafc444d,#0081cd,28,1.213127734892718,-1.5724399166453171,1.3751049745833677
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5c61ab19776b38000156cc95,#9a760e,8,-1.8796079846875193,-1.264951933983492,-0.9147023275953493
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,60f5eba9476ad9bc1d4252e9,#009018,15,1.3463759971517453,-2.6913133309150146,0.6713465046193801
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#a67100,7,-2.061274238465464,-1.507151377979925,-0.8540722555791316
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,5c105e2757fd11000127e60f,#6976be,30,0.5686602828420377,-1.283693424052142,-1.3480908262312479
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#da4836,2,-1.528137843852323,1.1136831649158687,0.641441141478782
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#008b98,23,1.032864525521856,-1.905463011925535,2.0093171006662187
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5b0f33dd1e55760001b9a9ce,#da464a,1,0.8132947498637775,1.577716522472701,0.352490973944501
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,6151f0f200c152d71f393bb5,#8c6db5,32,0.8645816641932383,1.6322502990375607,-1.907798924367161
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,5c105e2757fd11000127e60f,#a265a6,34,-2.8110238523169393,-0.4472849258186676,0.039371353317425535
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5b0f33dd1e55760001b9a9ce,#b45aa4,35,-1.2665086707144109,3.187269671347072,-0.4260946193708842
0198-5e695728-0481-4864-a152-cf981b7e539e,5bace93b5cd4520001dc04a5,#009072,19,-3.379361366401055,-0.13678044099009165,-2.224724305495522
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,60a81df1832584842fb188f6,#008c8e,22,1.1959271291137985,-2.5013784973735835,2.7206871160724875
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#927900,9,1.612040184071917,0.37453462033063656,0.24997078650645965
2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#ae6c00,6,0.3429467328708964,-1.710439593205384,1.5178392987259046
